Scenario - phase2_matchingPennies_algorithm1
Logfile written - 12/02/2019 11:03:18

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

870	0	Manual	12/02/2019 09:43:54	10038	10038	NA
870	0	Port Input	4	153685	153685	5
870	0	Response	3	153685	153685	5
870	0	Port Input	4	154414	154414	6
870	0	Response	3	154414	154414	6
870	0	Port Input	4	156519	156519	5
870	0	Response	3	156519	156519	5
870	0	Port Input	4	158713	158713	5
870	0	Response	3	158713	158713	5
870	0	Port Input	4	197182	197182	5
870	0	Response	3	197182	197182	5
870	0	Port Input	4	199617	199617	5
870	0	Response	3	199617	199617	5
870	0	Port Input	4	236471	236471	5
870	0	Response	3	236471	236471	5
870	0	Port Input	4	238817	238817	5
870	0	Response	3	238817	238817	5
870	0	Port Input	4	240788	240788	5
870	0	Response	3	240788	240788	5
870	0	Port Input	4	280070	280070	5
870	0	Response	3	280070	280070	5
870	0	Port Input	4	281855	281855	5
870	0	Response	3	281855	281855	5
870	0	Port Input	4	303929	303929	6
870	0	Response	3	303929	303929	6
870	0	Port Input	4	306503	306503	5
870	0	Response	3	306503	306503	5
870	0	Port Input	4	338494	338494	5
870	0	Response	3	338494	338494	5
870	0	Port Input	4	340358	340358	5
870	0	Response	3	340358	340358	5
870	0	Port Input	4	375434	375434	5
870	0	Response	3	375434	375434	5
870	0	Port Input	4	377593	377593	5
870	0	Response	3	377593	377593	5
870	0	Port Input	4	403315	403315	5
870	0	Response	3	403315	403315	5
870	0	Port Input	4	477718	477718	4
870	0	Response	3	477718	477718	4
870	0	Port Input	4	479700	479700	5
870	0	Response	3	479700	479700	5
870	0	Port Input	4	511596	511596	5
870	0	Response	3	511596	511596	5
870	0	Port Input	4	513745	513745	5
870	0	Response	3	513745	513745	5
870	0	Port Input	4	544629	544629	4
870	0	Response	3	544629	544629	4
870	0	Port Input	4	544633	544633	5
870	0	Response	3	544633	544633	5
870	0	Port Input	4	546402	546402	5
870	0	Response	3	546402	546402	5
870	0	Port Input	4	549670	549670	5
870	0	Response	3	549670	549670	5
870	0	Port Input	4	551258	551258	4
870	0	Response	3	551258	551258	4
870	0	Port Input	4	580573	580573	4
870	0	Response	3	580573	580573	4
870	0	Port Input	4	686909	686909	6
870	0	Response	3	686909	686909	6
870	0	Port Input	1	781902	781902	5
870	0	Response	2	781902	781902	5
870	0	Port Input	4	783878	783878	5
870	0	Response	3	783878	783878	5
870	0	Port Input	4	878091	878091	6
870	0	Response	3	878091	878091	6
870	1	Nothing	52	920490	0	1			0		other	0
870	1	Port Input	4	922452	1962	5
870	1	Response	3	922452	1962	5
870	2	Nothing	111	922487	0	1			0		false_alarm	71
870	2	Port Input	4	925163	2676	5
870	2	Response	3	925163	2676	5
870	2	Port Input	4	928071	5584	5
870	2	Response	3	928071	5584	5
870	2	Port Input	4	929395	6907	4
870	2	Response	3	929395	6907	4
870	2	Port Input	4	931011	8524	5
870	2	Response	3	931011	8524	5
870	2	Port Input	4	932661	10174	5
870	2	Response	3	932661	10174	5
870	2	Port Input	4	933012	10525	5
870	2	Response	3	933012	10525	5
870	2	Port Input	4	936061	13573	5
870	2	Response	3	936061	13573	5
870	2	Port Input	4	939433	16946	5
870	2	Response	3	939433	16946	5
870	2	Port Input	4	940963	18476	5
870	2	Response	3	940963	18476	5
870	2	Port Input	4	942377	19890	6
870	2	Response	3	942377	19890	6
870	2	Port Input	4	943834	21347	4
870	2	Response	3	943834	21347	4
870	2	Port Input	4	945390	22902	6
870	2	Response	3	945390	22902	6
870	2	Port Input	4	947029	24542	5
870	2	Response	3	947029	24542	5
870	3	Nothing	19	952732	0	1			0		other	0
870	4	Nothing	51	987966	0	0			0		other	0
870	4	Port Input	4	989466	1499	6
870	4	Response	3	989466	1499	6
870	5	Nothing	101	989491	0	0			0		false_alarm	102
870	5	Port Input	4	990923	1433	5
870	5	Response	3	990923	1433	5
870	5	Port Input	4	992541	3050	5
870	5	Response	3	992541	3050	5
870	5	Port Input	4	994624	5134	4
870	5	Response	3	994624	5134	4
870	5	Port Input	4	996878	7387	8
870	5	Response	3	996878	7387	8
870	5	Port Input	4	998727	9236	5
870	5	Response	3	998727	9236	5
870	5	Port Input	4	998849	9358	4
870	5	Response	3	998849	9358	4
