Scenario - phase2_matchingPennies_algorithm1
Logfile written - 11/10/2019 10:30:27

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

873	0	Manual	11/10/2019 09:27:38	-9969	-9969
873	0	Response	3	-8697	-8697	6
873	0	Port Input	4	-8697	-8697	6
873	0	Response	3	25218	25218	6
873	0	Port Input	4	25218	25218	6
873	0	Response	2	27081	27081	5
873	0	Port Input	1	27081	27081	5
873	0	Response	2	28786	28786	6
873	0	Port Input	1	28786	28786	6
873	0	Response	2	30424	30424	6
873	0	Port Input	1	30424	30424	6
873	0	Response	3	50931	50931	3
873	0	Port Input	4	50931	50931	3
873	0	Response	3	52576	52576	4
873	0	Port Input	4	52576	52576	4
873	0	Response	3	84301	84301	6
873	0	Port Input	4	84301	84301	6
873	0	Response	3	85775	85775	6
873	0	Port Input	4	85775	85775	6
873	0	Response	3	120016	120016	6
873	0	Port Input	4	120016	120016	6
873	0	Response	3	121607	121607	7
873	0	Port Input	4	121607	121607	7
873	0	Response	2	123359	123359	6
873	0	Port Input	1	123359	123359	6
873	0	Response	2	124977	124977	6
873	0	Port Input	1	124977	124977	6
873	0	Response	3	220102	220102	6
873	0	Port Input	4	220102	220102	6
873	0	Response	3	225426	225426	4
873	0	Port Input	4	225426	225426	4
873	0	Response	3	226968	226968	6
873	0	Port Input	4	226968	226968	6
873	0	Response	3	228595	228595	5
873	0	Port Input	4	228595	228595	5
873	0	Response	2	231994	231994	6
873	0	Port Input	1	231994	231994	6
873	0	Response	2	233458	233458	6
873	0	Port Input	1	233458	233458	6
873	0	Response	3	287740	287740	5
873	0	Port Input	4	287740	287740	5
873	0	Response	3	289294	289294	6
873	0	Port Input	4	289294	289294	6
873	0	Response	2	291147	291147	6
873	0	Port Input	1	291147	291147	6
873	0	Response	2	292318	292318	5
873	0	Port Input	1	292318	292318	5
873	0	Response	2	293411	293411	6
873	0	Port Input	1	293411	293411	6
873	0	Response	2	294999	294999	6
873	0	Port Input	1	294999	294999	6
873	0	Response	2	297666	297666	8
873	0	Port Input	1	297666	297666	8
873	0	Response	2	299457	299457	4
873	0	Port Input	1	299457	299457	4
873	0	Response	3	324074	324074	6
873	0	Port Input	4	324074	324074	6
873	0	Response	2	325787	325787	6
873	0	Port Input	1	325787	325787	6
873	0	Response	2	327330	327330	6
873	0	Port Input	1	327330	327330	6
873	0	Response	3	356514	356514	6
873	0	Port Input	4	356514	356514	6
873	0	Response	3	412182	412182	6
873	0	Port Input	4	412182	412182	6
873	0	Response	2	416233	416233	6
873	0	Port Input	1	416233	416233	6
873	0	Response	3	479544	479544	6
873	0	Port Input	4	479544	479544	6
873	0	Response	3	505609	505609	5
873	0	Port Input	4	505609	505609	5
873	0	Response	3	507243	507243	6
873	0	Port Input	4	507243	507243	6
873	0	Response	2	588970	588970	6
873	0	Port Input	1	588970	588970	6
873	0	Response	3	623531	623531	6
873	0	Port Input	4	623531	623531	6
873	0	Response	3	624736	624736	6
873	0	Port Input	4	624736	624736	6
873	0	Response	2	626420	626420	5
873	0	Port Input	1	626420	626420	5
873	0	Response	3	628029	628029	5
873	0	Port Input	4	628029	628029	5
873	0	Response	3	706593	706593	6
873	0	Port Input	4	706593	706593	6
873	0	Response	3	768933	768933	6
873	0	Port Input	4	768933	768933	6
873	0	Response	3	809049	809049	6
873	0	Port Input	4	809049	809049	6
873	0	Response	3	834724	834724	3
873	0	Port Input	4	834724	834724	3
873	1	Nothing	99	898929	0	1			0		other	0
873	2	Nothing	51	899089	0	1			0		other	0
873	2	Response	3	900710	1621	6
873	2	Port Input	4	900710	1621	6
873	3	Nothing	101	900742	0	1			0		false_alarm	97
873	3	Response	3	901931	1189	6
873	3	Port Input	4	901931	1189	6
873	3	Response	2	903595	2853	6
873	3	Port Input	1	903595	2853	6
873	3	Response	3	905203	4461	6
873	3	Port Input	4	905203	4461	6
873	3	Response	2	906740	5998	6
873	3	Port Input	1	906740	5998	6
873	3	Response	2	908311	7569	6
873	3	Port Input	1	908311	7569	6
873	3	Response	2	910963	10221	6
873	3	Port Input	1	910963	10221	6
873	3	Response	3	913568	12826	6
873	3	Port Input	4	913568	12826	6
873	3	Response	2	915206	14464	6
873	3	Port Input	1	915206	14464	6
873	3	Response	2	916623	15881	6
873	3	Port Input	1	916623	15881	6
873	4	Nothing	19	930951	0	1			0		other	0
873	5	Nothing	99	960355	0	1			0		other	0
873	6	Nothing	52	960537	0	1			0		other	0
873	6	Response	2	961894	1357	6
873	6	Port Input	1	961894	1357	6
873	7	Nothing	110	961929	0	1			0		false_alarm	121
873	7	Response	2	963153	1224	6
873	7	Port Input	1	963153	1224	6
873	7	Response	2	963158	1229	6
873	7	Port Input	1	963158	1229	6
873	7	Response	2	964516	2587	6
873	7	Port Input	1	964516	2587	6
873	8	Nothing	19	992131	0	2			0		other	0
873	9	Nothing	99	1020168	0	1			0		other	0
873	10	Nothing	51	1020329	0	1			0		other	0
873	10	Response	2	1021679	1350	6
873	10	Port Input	1	1021679	1350	6
873	11	Nothing	100	1021725	0	1			0		false_alarm	133
873	11	Response	2	1022843	1118	5
873	11	Port Input	1	1022843	1118	5
873	11	Response	3	1026422	4697	6
873	11	Port Input	4	1026422	4697	6
873	11	Response	2	1027988	6263	5
873	11	Port Input	1	1027988	6263	5
873	11	Response	3	1029267	7542	21
873	11	Port Input	4	1029267	7542	21
873	11	Response	3	1030651	8926	6
873	11	Port Input	4	1030651	8926	6
873	11	Response	2	1032211	10486	6
873	11	Port Input	1	1032211	10486	6
873	11	Response	2	1033766	12041	6
873	11	Port Input	1	1033766	12041	6
873	11	Response	2	1035201	13476	6
873	11	Port Input	1	1035201	13476	6
873	11	Response	2	1036494	14769	8
873	11	Port Input	1	1036494	14769	8
873	11	Response	2	1038037	16312	8
873	11	Port Input	1	1038037	16312	8
873	11	Response	2	1039679	17954	6
873	11	Port Input	1	1039679	17954	6
873	11	Response	2	1041082	19357	6
873	11	Port Input	1	1041082	19357	6
873	11	Response	2	1042539	20814	5
873	11	Port Input	1	1042539	20814	5
873	11	Response	2	1045260	23535	5
873	11	Port Input	1	1045260	23535	5
873	11	Response	2	1046662	24937	6
873	11	Port Input	1	1046662	24937	6
873	12	Nothing	19	1051865	0	1			0		other	0
873	13	Nothing	99	1074703	0	1			0		other	0
873	14	Nothing	52	1074865	0	1			0		other	0
873	14	Response	2	1076177	1312	6
873	14	Port Input	1	1076177	1312	6
873	15	Nothing	110	1076213	0	1			0		false_alarm	169
873	15	Response	2	1077437	1224	6
873	15	Port Input	1	1077437	1224	6
873	15	Response	2	1078780	2567	6
873	15	Port Input	1	1078780	2567	6
873	16	Nothing	19	1106347	0	1			0		other	0
873	18	Nothing	99	1126269	0	1			0		other	0
873	19	Nothing	52	1126391	0	1			0		other	0
873	19	Response	2	1127773	1382	6
873	19	Port Input	1	1127773	1382	6
873	20	Nothing	110	1127798	0	1			0		false_alarm	179
873	20	Response	2	1129033	1235	5
873	20	Port Input	1	1129033	1235	5
873	20	Response	2	1130492	2694	8
873	20	Port Input	1	1130492	2694	8
873	21	Nothing	19	1158584	0	1			0		other	0
873	22	Nothing	99	1177430	0	1			0		other	0
873	23	Nothing	51	1177598	0	1			0		other	0
873	23	Response	3	1180052	2454	6
873	23	Port Input	4	1180052	2454	6
873	24	Nothing	101	1180085	0	1			0		false_alarm	189
873	24	Response	3	1181614	1529	4
873	24	Port Input	4	1181614	1529	4
873	24	Response	3	1181617	1532	6
873	24	Port Input	4	1181617	1532	6
873	24	Response	2	1183186	3101	4
873	24	Port Input	1	1183186	3101	4
873	24	Response	3	1185097	5012	6
873	24	Port Input	4	1185097	5012	6
873	25	Nothing	19	1213630	0	1			0		other	0
873	26	Nothing	99	1236593	0	1			0		other	0
873	27	Nothing	51	1236715	0	1			0		other	0
873	27	Response	3	1238206	1491	6
873	27	Port Input	4	1238206	1491	6
873	28	Nothing	101	1238241	0	1			0		false_alarm	203
873	28	Response	3	1239499	1258	6
873	28	Port Input	4	1239499	1258	6
873	28	Response	2	1240979	2738	6
873	28	Port Input	1	1240979	2738	6
873	29	Nothing	19	1271800	0	1			0		other	0
873	30	Nothing	99	1282890	0	1			0		other	0
873	31	Nothing	52	1283085	0	2			0		other	0
873	31	Response	3	1284919	1834	6
873	31	Port Input	4	1284919	1834	6
873	32	Nothing	111	1284963	0	1			0		false_alarm	213
873	32	Response	3	1286124	1161	6
873	32	Port Input	4	1286124	1161	6
873	32	Response	3	1288787	3824	90
873	32	Port Input	4	1288787	3824	90
873	32	Response	3	1289946	4983	8
873	32	Port Input	4	1289946	4983	8
873	32	Response	3	1291147	6184	9
873	32	Port Input	4	1291147	6184	9
873	32	Response	3	1292471	7508	6
873	32	Port Input	4	1292471	7508	6
873	32	Response	3	1293799	8836	4
873	32	Port Input	4	1293799	8836	4
873	32	Response	3	1296345	11382	6
873	32	Port Input	4	1296345	11382	6
873	32	Response	3	1298051	13088	6
873	32	Port Input	4	1298051	13088	6
873	32	Response	3	1299526	14563	6
873	32	Port Input	4	1299526	14563	6
873	32	Response	3	1302258	17295	5
873	32	Port Input	4	1302258	17295	5
873	33	Nothing	19	1318406	0	1			0		other	0
873	34	Nothing	99	1340217	0	1			0		other	0
873	35	Nothing	52	1340364	0	1			0		other	0
873	35	Response	2	1342064	1700	6
873	35	Port Input	1	1342064	1700	6
873	36	Nothing	110	1342096	0	1			0		false_alarm	239
873	36	Response	2	1343409	1313	3
873	36	Port Input	1	1343409	1313	3
873	37	Nothing	19	1375664	0	1			0		other	0
873	39	Nothing	99	1397953	0	1			0		other	0
873	40	Nothing	52	1398075	0	1			0		other	0
873	40	Response	3	1399385	1310	5
873	40	Port Input	4	1399385	1310	5
873	41	Nothing	111	1399424	0	1			0		false_alarm	247
873	41	Response	3	1400910	1486	6
873	41	Port Input	4	1400910	1486	6
873	41	Response	3	1402199	2775	6
873	41	Port Input	4	1402199	2775	6
873	41	Response	3	1403283	3859	7
873	41	Port Input	4	1403283	3859	7
873	41	Response	3	1404578	5154	4
873	41	Port Input	4	1404578	5154	4
873	41	Response	3	1405931	6507	5
873	41	Port Input	4	1405931	6507	5
873	41	Response	3	1407272	7848	5
873	41	Port Input	4	1407272	7848	5
873	41	Response	3	1408720	9296	5
873	41	Port Input	4	1408720	9296	5
873	41	Response	3	1410262	10838	6
873	41	Port Input	4	1410262	10838	6
873	41	Response	3	1411677	12253	5
873	41	Port Input	4	1411677	12253	5
873	41	Response	3	1411681	12257	6
873	41	Port Input	4	1411681	12257	6
873	41	Response	3	1413379	13955	6
873	41	Port Input	4	1413379	13955	6
873	41	Response	3	1415795	16371	6
873	41	Port Input	4	1415795	16371	6
873	42	Nothing	19	1432945	0	1			0		other	0
873	43	Nothing	99	1455572	0	1			0		other	0
873	44	Nothing	52	1455696	0	1			0		other	0
873	44	Response	2	1457178	1482	6
873	44	Port Input	1	1457178	1482	6
873	45	Nothing	110	1457211	0	1			0		false_alarm	277
873	45	Response	2	1458356	1145	6
873	45	Port Input	1	1458356	1145	6
873	45	Response	2	1459739	2528	5
873	45	Port Input	1	1459739	2528	5
873	46	Nothing	19	1490936	0	1			0		other	0
873	47	Nothing	99	1531574	0	1			0		other	0
873	48	Nothing	51	1531742	0	2			0		other	0
873	48	Response	2	1533655	1913	6
873	48	Port Input	1	1533655	1913	6
873	49	Nothing	100	1533700	0	1			0		false_alarm	287
873	49	Response	2	1534745	1045	6
873	49	Port Input	1	1534745	1045	6
873	49	Response	2	1537142	3442	6
873	49	Port Input	1	1537142	3442	6
873	49	Response	2	1538420	4720	6
873	49	Port Input	1	1538420	4720	6
873	49	Response	2	1539801	6101	6
873	49	Port Input	1	1539801	6101	6
873	49	Response	2	1541231	7531	4
873	49	Port Input	1	1541231	7531	4
873	49	Response	2	1542759	9059	6
873	49	Port Input	1	1542759	9059	6
873	49	Response	2	1544131	10431	6
873	49	Port Input	1	1544131	10431	6
873	49	Response	2	1545588	11888	6
873	49	Port Input	1	1545588	11888	6
873	49	Response	2	1546986	13286	6
873	49	Port Input	1	1546986	13286	6
873	49	Response	2	1548309	14609	6
873	49	Port Input	1	1548309	14609	6
873	50	Nothing	19	1567124	0	1			0		other	0
873	51	Nothing	99	1603994	0	1			0		other	0
873	52	Nothing	51	1604113	0	1			0		other	0
873	52	Response	2	1605566	1453	21
873	52	Port Input	1	1605566	1453	21
873	53	Nothing	100	1605626	0	1			0		false_alarm	313
873	53	Response	2	1606831	1205	6
873	53	Port Input	1	1606831	1205	6
873	53	Response	2	1609171	3545	6
873	53	Port Input	1	1609171	3545	6
873	53	Response	2	1610496	4870	5
873	53	Port Input	1	1610496	4870	5
873	53	Response	2	1611898	6272	6
873	53	Port Input	1	1611898	6272	6
873	53	Response	2	1613317	7691	6
873	53	Port Input	1	1613317	7691	6
873	53	Response	2	1614678	9052	6
873	53	Port Input	1	1614678	9052	6
873	53	Response	2	1616103	10477	5
873	53	Port Input	1	1616103	10477	5
873	53	Response	2	1617637	12011	6
873	53	Port Input	1	1617637	12011	6
873	53	Response	2	1619163	13537	5
873	53	Port Input	1	1619163	13537	5
873	53	Response	2	1621709	16083	7
873	53	Port Input	1	1621709	16083	7
873	53	Response	2	1623079	17453	6
873	53	Port Input	1	1623079	17453	6
873	54	Nothing	19	1639035	0	1			0		other	0
873	55	Nothing	99	1654201	0	1			0		other	0
873	56	Nothing	52	1654370	0	1			0		other	0
873	56	Response	2	1655763	1393	6
873	56	Port Input	1	1655763	1393	6
873	57	Nothing	110	1655798	0	1			0		false_alarm	341
873	57	Response	2	1657009	1211	6
873	57	Port Input	1	1657009	1211	6
873	57	Response	2	1658259	2461	6
873	57	Port Input	1	1658259	2461	6
873	58	Nothing	19	1689343	0	1			0		other	0
873	60	Nothing	99	1714702	0	1			0		other	0
873	61	Nothing	51	1714860	0	1			0		other	0
873	61	Response	2	1716126	1266	6
873	61	Port Input	1	1716126	1266	6
873	62	Nothing	100	1716163	0	1			0		false_alarm	351
873	62	Response	2	1717343	1180	6
873	62	Port Input	1	1717343	1180	6
873	62	Response	2	1719649	3486	5
873	62	Port Input	1	1719649	3486	5
873	62	Response	2	1721073	4910	9
873	62	Port Input	1	1721073	4910	9
873	62	Response	2	1722464	6301	5
873	62	Port Input	1	1722464	6301	5
873	62	Response	2	1723924	7761	5
873	62	Port Input	1	1723924	7761	5
873	62	Response	2	1725399	9236	6
873	62	Port Input	1	1725399	9236	6
873	62	Response	2	1726984	10821	6
873	62	Port Input	1	1726984	10821	6
873	62	Response	2	1728467	12304	6
873	62	Port Input	1	1728467	12304	6
873	62	Response	2	1731063	14900	6
873	62	Port Input	1	1731063	14900	6
873	63	Nothing	19	1749585	0	1			0		other	0
873	64	Nothing	99	1794895	0	1			0		other	0
873	65	Nothing	52	1795079	0	1			0		other	0
873	65	Response	3	1797816	2737	5
873	65	Port Input	4	1797816	2737	5
873	66	Nothing	111	1797855	0	1			0		false_alarm	375
873	66	Response	3	1799274	1419	7
873	66	Port Input	4	1799274	1419	7
873	66	Response	3	1800578	2723	8
873	66	Port Input	4	1800578	2723	8
873	66	Response	3	1801813	3958	4
873	66	Port Input	4	1801813	3958	4
873	66	Response	3	1803139	5284	6
873	66	Port Input	4	1803139	5284	6
873	66	Response	3	1804504	6649	6
873	66	Port Input	4	1804504	6649	6
873	66	Response	3	1805980	8125	6
873	66	Port Input	4	1805980	8125	6
873	66	Response	3	1807514	9659	6
873	66	Port Input	4	1807514	9659	6
873	66	Response	3	1808850	10995	5
873	66	Port Input	4	1808850	10995	5
873	66	Response	3	1810266	12411	6
873	66	Port Input	4	1810266	12411	6
873	66	Response	3	1811897	14042	6
873	66	Port Input	4	1811897	14042	6
873	66	Response	3	1811902	14047	6
873	66	Port Input	4	1811902	14047	6
873	66	Response	3	1813037	15182	5
873	66	Port Input	4	1813037	15182	5
873	67	Nothing	19	1831261	0	1			0		other	0
873	68	Nothing	99	1849979	0	1			0		other	0
873	69	Nothing	51	1850171	0	1			0		other	0
873	69	Response	3	1851728	1557	6
873	69	Port Input	4	1851728	1557	6
873	70	Nothing	101	1851763	0	1			0		false_alarm	405
873	70	Response	3	1853099	1336	5
873	70	Port Input	4	1853099	1336	5
873	70	Response	3	1856101	4338	6
873	70	Port Input	4	1856101	4338	6
873	71	Nothing	19	1885153	0	1			0		other	0
873	72	Nothing	99	1929769	0	1			0		other	0
873	73	Nothing	51	1929894	0	1			0		other	0
873	73	Response	2	1931249	1355	6
873	73	Port Input	1	1931249	1355	6
873	74	Nothing	100	1931291	0	1			0		false_alarm	415
873	74	Response	2	1932427	1136	6
873	74	Port Input	1	1932427	1136	6
873	74	Response	2	1934722	3431	6
873	74	Port Input	1	1934722	3431	6
873	74	Response	2	1936091	4800	6
873	74	Port Input	1	1936091	4800	6
873	74	Response	2	1937523	6232	6
873	74	Port Input	1	1937523	6232	6
873	74	Response	2	1938930	7639	4
873	74	Port Input	1	1938930	7639	4
873	74	Response	2	1940253	8962	7
873	74	Port Input	1	1940253	8962	7
873	74	Response	2	1941673	10382	8
873	74	Port Input	1	1941673	10382	8
873	74	Response	2	1943141	11850	6
873	74	Port Input	1	1943141	11850	6
873	74	Response	2	1946019	14728	5
873	74	Port Input	1	1946019	14728	5
873	75	Nothing	19	1964749	0	1			0		other	0
873	76	Nothing	99	1985558	0	1			0		other	0
873	77	Nothing	52	1985725	0	1			0		other	0
873	77	Response	2	1986961	1236	6
873	77	Port Input	1	1986961	1236	6
873	78	Nothing	110	1986998	0	1			0		false_alarm	439
873	78	Response	2	1988216	1218	5
873	78	Port Input	1	1988216	1218	5
873	78	Response	2	1989366	2368	6
873	78	Port Input	1	1989366	2368	6
873	79	Nothing	19	2020519	0	1			0		other	0
873	81	Nothing	99	2065373	0	1			0		other	0
873	82	Nothing	52	2065500	0	1			0		other	0
873	82	Response	3	2067019	1519	6
873	82	Port Input	4	2067019	1519	6
873	83	Nothing	111	2067061	0	1			0		false_alarm	449
873	83	Response	3	2068319	1258	5
873	83	Port Input	4	2068319	1258	5
873	83	Response	3	2069735	2674	6
873	83	Port Input	4	2069735	2674	6
873	83	Response	3	2070729	3668	6
873	83	Port Input	4	2070729	3668	6
873	83	Response	3	2072035	4974	6
873	83	Port Input	4	2072035	4974	6
873	83	Response	3	2073358	6297	6
873	83	Port Input	4	2073358	6297	6
873	83	Response	3	2074713	7652	5
873	83	Port Input	4	2074713	7652	5
873	83	Response	3	2076112	9051	6
873	83	Port Input	4	2076112	9051	6
873	83	Response	3	2077654	10593	6
873	83	Port Input	4	2077654	10593	6
873	83	Response	3	2078941	11880	5
873	83	Port Input	4	2078941	11880	5
873	84	Nothing	19	2100563	0	1			0		other	0
873	85	Nothing	99	2123741	0	1			0		other	0
873	86	Nothing	52	2123865	0	1			0		other	0
873	86	Response	2	2125100	1235	5
873	86	Port Input	1	2125100	1235	5
873	87	Nothing	110	2125135	0	1			0		false_alarm	473
873	87	Response	2	2126320	1185	6
873	87	Port Input	1	2126320	1185	6
873	87	Response	2	2127372	2237	6
873	87	Port Input	1	2127372	2237	6
873	88	Nothing	19	2158750	0	1			0		other	0
873	89	Nothing	99	2171786	0	1			0		other	0
873	90	Nothing	52	2171907	0	2			0		other	0
873	90	Response	2	2176354	4447	4
873	90	Port Input	1	2176354	4447	4
873	91	Nothing	110	2176387	0	1			0		false_alarm	483
873	91	Response	2	2177363	976	8
873	91	Port Input	1	2177363	976	8
873	91	Response	2	2178713	2326	6
873	91	Port Input	1	2178713	2326	6
873	92	Nothing	19	2209830	0	1			0		other	0
873	93	Nothing	99	2251261	0	2			0		other	0
873	94	Nothing	52	2251387	0	1			0		other	0
873	94	Response	2	2252794	1407	5
873	94	Port Input	1	2252794	1407	5
873	95	Nothing	110	2252829	0	1			0		false_alarm	493
873	95	Response	2	2253803	974	6
873	95	Port Input	1	2253803	974	6
873	95	Response	2	2254974	2145	6
873	95	Port Input	1	2254974	2145	6
873	95	Response	2	2256258	3429	6
