scorer,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right,Center,Center,Center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,167.73281860351562,73.95207214355469,1.0,169.33688354492188,118.77214813232422,1.0,150.1417236328125,98.13302612304688,1.0,183.53363037109375,96.76303100585938,1.0,167.83079528808594,97.21029663085938,1.0
1,168.308837890625,79.2538070678711,1.0,168.82740783691406,121.38349151611328,1.0,150.81797790527344,101.3753662109375,1.0,183.26953125,100.3514404296875,1.0,168.06040954589844,100.86322784423828,1.0
2,167.10850524902344,78.66967010498047,1.0,168.06497192382812,120.57726287841797,1.0,149.48008728027344,100.37821960449219,1.0,182.22093200683594,99.04886627197266,1.0,166.99301147460938,99.47614288330078,1.0
3,166.77716064453125,80.26536560058594,1.0,167.6671905517578,122.54966735839844,1.0,149.10336303710938,102.69840240478516,1.0,182.1924285888672,101.56920623779297,1.0,166.57925415039062,102.33486938476562,1.0
4,164.15834045410156,80.6196060180664,1.0,165.16180419921875,123.53087615966797,1.0,146.22586059570312,103.7325668334961,1.0,181.19972229003906,102.63108825683594,1.0,164.53485107421875,102.60087585449219,1.0
5,170.0241241455078,81.57962036132812,1.0,169.68434143066406,124.53379821777344,1.0,151.47805786132812,103.50411987304688,1.0,187.3942413330078,104.67061614990234,1.0,170.3048858642578,103.99775695800781,1.0
6,167.6426544189453,81.25056457519531,1.0,167.8968963623047,124.23117065429688,1.0,149.96632385253906,103.81791687011719,1.0,184.85009765625,104.3560791015625,1.0,168.02734375,103.63704681396484,1.0
7,167.2812042236328,79.85680389404297,1.0,167.49388122558594,123.2085952758789,1.0,149.04310607910156,102.5543212890625,1.0,184.342529296875,102.18993377685547,1.0,167.0121612548828,102.23878479003906,1.0
8,169.75148010253906,78.8267822265625,1.0,169.5166015625,122.84187316894531,1.0,151.20375061035156,101.79780578613281,1.0,186.32122802734375,101.66324615478516,1.0,168.87644958496094,101.10771179199219,1.0
9,172.34730529785156,77.0316390991211,1.0,171.8389892578125,122.29882049560547,1.0,153.11325073242188,101.0817642211914,1.0,188.73858642578125,100.78653717041016,1.0,171.4317169189453,100.65336608886719,1.0
10,172.92327880859375,76.0816879272461,1.0,173.0782012939453,120.58660125732422,1.0,152.87222290039062,97.95030212402344,1.0,188.6796417236328,99.02647399902344,1.0,171.5017852783203,97.85057067871094,1.0
11,170.50344848632812,78.88455200195312,1.0,169.3916778564453,123.9430923461914,1.0,151.10169982910156,101.94956970214844,1.0,185.98731994628906,102.67682647705078,1.0,169.46432495117188,101.5528793334961,1.0
12,170.3499298095703,76.69559478759766,1.0,169.63182067871094,122.49563598632812,1.0,151.07936096191406,100.796142578125,1.0,187.07049560546875,100.64494323730469,1.0,169.28475952148438,100.08428955078125,1.0
13,171.81878662109375,80.7860107421875,1.0,170.78663635253906,123.60124206542969,1.0,151.9021453857422,102.5404052734375,1.0,188.81942749023438,103.2962875366211,1.0,170.57908630371094,102.44773864746094,1.0
14,170.78115844726562,79.02995300292969,1.0,169.97061157226562,122.8543472290039,1.0,151.9114990234375,101.8073959350586,1.0,187.09609985351562,101.79839324951172,1.0,169.93719482421875,101.20034790039062,1.0
15,171.54129028320312,78.83062744140625,1.0,171.2090301513672,122.70868682861328,1.0,152.5308074951172,101.48625183105469,1.0,187.3287811279297,102.4758529663086,1.0,171.14892578125,101.06640625,1.0
16,171.2801055908203,76.83390045166016,1.0,170.82862854003906,122.25514221191406,1.0,152.2273406982422,101.09059143066406,1.0,187.61888122558594,101.1353988647461,1.0,170.36073303222656,100.17117309570312,1.0
17,172.62979125976562,77.25633239746094,1.0,172.3791961669922,123.36107635498047,1.0,153.08921813964844,101.60924530029297,1.0,189.1467742919922,102.33183288574219,1.0,172.0769500732422,101.27544403076172,1.0
18,170.56320190429688,78.49686431884766,1.0,169.8394317626953,124.08740234375,1.0,150.7446746826172,101.98551940917969,1.0,186.8035430908203,102.71400451660156,1.0,170.05072021484375,101.1647720336914,1.0
19,171.29046630859375,75.9087142944336,1.0,170.62049865722656,123.53062438964844,1.0,151.29112243652344,101.10890197753906,1.0,188.390625,101.28164672851562,1.0,170.14205932617188,99.9510498046875,1.0
20,172.39462280273438,75.6843032836914,1.0,171.77865600585938,124.74519348144531,1.0,151.47731018066406,101.33348083496094,1.0,189.7494354248047,101.783203125,1.0,171.05152893066406,100.5977554321289,1.0
21,171.92849731445312,77.34550476074219,1.0,171.09852600097656,125.74564361572266,1.0,149.91790771484375,103.20352172851562,1.0,190.0293731689453,104.06116485595703,1.0,169.23403930664062,102.4311752319336,1.0
22,174.33444213867188,78.91266632080078,1.0,172.55532836914062,128.0432891845703,1.0,151.49473571777344,104.2701644897461,1.0,193.10194396972656,103.99945831298828,1.0,172.91366577148438,103.8415298461914,1.0
23,170.93167114257812,75.37705993652344,1.0,170.51995849609375,125.63702392578125,1.0,149.12440490722656,102.16919708251953,1.0,189.48025512695312,102.43280792236328,1.0,169.97079467773438,101.18292999267578,1.0
24,171.7745361328125,74.91459655761719,1.0,170.7167510986328,126.56353759765625,1.0,149.68186950683594,101.7489013671875,1.0,190.32431030273438,102.45040893554688,1.0,170.31813049316406,100.76962280273438,1.0
25,171.44692993164062,75.28599548339844,1.0,170.52377319335938,126.97913360595703,1.0,148.1585235595703,101.92658996582031,1.0,190.95748901367188,103.19924926757812,1.0,169.6143341064453,101.28263854980469,1.0
26,172.63584899902344,75.6037826538086,1.0,171.80795288085938,126.93984985351562,1.0,149.000244140625,102.624755859375,1.0,191.41195678710938,102.4785385131836,1.0,170.54920959472656,101.9286880493164,1.0
27,171.27401733398438,75.92705535888672,1.0,169.70431518554688,128.6029815673828,1.0,146.83624267578125,103.84825134277344,1.0,191.0384063720703,104.37928009033203,1.0,169.0021514892578,103.29420471191406,1.0
