Scenario - phase2_matchingPennies_algorithm1
Logfile written - 10/22/2019 12:33:51

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

875	0	Manual	10/22/2019 11:22:09	-9972	-9972
875	0	Response	3	22474	22474	6
875	0	Port Input	4	22474	22474	6
875	0	Response	3	32899	32899	6
875	0	Port Input	4	32899	32899	6
875	0	Response	3	121503	121503	6
875	0	Port Input	4	121503	121503	6
875	0	Response	3	123054	123054	6
875	0	Port Input	4	123054	123054	6
875	0	Response	3	124529	124529	6
875	0	Port Input	4	124529	124529	6
875	0	Response	3	126054	126054	6
875	0	Port Input	4	126054	126054	6
875	0	Response	3	146822	146822	6
875	0	Port Input	4	146822	146822	6
875	0	Response	3	148523	148523	6
875	0	Port Input	4	148523	148523	6
875	0	Response	3	148672	148672	6
875	0	Port Input	4	148672	148672	6
875	0	Response	3	150237	150237	6
875	0	Port Input	4	150237	150237	6
875	0	Response	3	183806	183806	6
875	0	Port Input	4	183806	183806	6
875	0	Response	3	201709	201709	6
875	0	Port Input	4	201709	201709	6
875	0	Response	3	201802	201802	6
875	0	Port Input	4	201802	201802	6
875	0	Response	3	213207	213207	6
875	0	Port Input	4	213207	213207	6
875	0	Response	3	239080	239080	6
875	0	Port Input	4	239080	239080	6
875	0	Response	2	256723	256723	6
875	0	Port Input	1	256723	256723	6
875	0	Response	2	308725	308725	6
875	0	Port Input	1	308725	308725	6
875	0	Response	3	327978	327978	6
875	0	Port Input	4	327978	327978	6
875	0	Response	3	341486	341486	6
875	0	Port Input	4	341486	341486	6
875	0	Response	3	353854	353854	7
875	0	Port Input	4	353854	353854	7
875	0	Response	3	362249	362249	6
875	0	Port Input	4	362249	362249	6
875	0	Response	3	379648	379648	9
875	0	Port Input	4	379648	379648	9
875	0	Response	3	390574	390574	5
875	0	Port Input	4	390574	390574	5
875	0	Response	2	392778	392778	5
875	0	Port Input	1	392778	392778	5
875	0	Response	3	425978	425978	6
875	0	Port Input	4	425978	425978	6
875	0	Response	3	443743	443743	6
875	0	Port Input	4	443743	443743	6
875	0	Response	3	466878	466878	4
875	0	Port Input	4	466878	466878	4
875	0	Response	3	466881	466881	6
875	0	Port Input	4	466881	466881	6
875	0	Response	3	468745	468745	5
875	0	Port Input	4	468745	468745	5
875	0	Response	3	483299	483299	6
875	0	Port Input	4	483299	483299	6
875	0	Response	3	512507	512507	6
875	0	Port Input	4	512507	512507	6
875	0	Response	3	524620	524620	6
875	0	Port Input	4	524620	524620	6
875	0	Response	3	547719	547719	6
875	0	Port Input	4	547719	547719	6
875	0	Response	3	555456	555456	6
875	0	Port Input	4	555456	555456	6
875	0	Response	3	571480	571480	6
875	0	Port Input	4	571480	571480	6
875	0	Response	3	581013	581013	4
875	0	Port Input	4	581013	581013	4
875	0	Response	2	631599	631599	6
875	0	Port Input	1	631599	631599	6
875	0	Response	3	633804	633804	6
875	0	Port Input	4	633804	633804	6
875	0	Response	3	702843	702843	6
875	0	Port Input	4	702843	702843	6
875	0	Response	3	737230	737230	5
875	0	Port Input	4	737230	737230	5
875	0	Response	3	739111	739111	6
875	0	Port Input	4	739111	739111	6
875	0	Response	3	760588	760588	4
875	0	Port Input	4	760588	760588	4
875	0	Response	3	785337	785337	6
875	0	Port Input	4	785337	785337	6
875	0	Response	3	802037	802037	5
875	0	Port Input	4	802037	802037	5
875	0	Response	3	829762	829762	5
875	0	Port Input	4	829762	829762	5
875	0	Response	3	842584	842584	6
875	0	Port Input	4	842584	842584	6
875	0	Response	3	856099	856099	6
875	0	Port Input	4	856099	856099	6
875	1	Nothing	52	901679	0	1			0		other	0
875	1	Response	2	903852	2173	6
875	1	Port Input	1	903852	2173	6
875	2	Nothing	110	903885	0	1			0		false_alarm	100
875	2	Response	2	905224	1339	6
875	2	Port Input	1	905224	1339	6
875	2	Response	2	906884	2999	6
875	2	Port Input	1	906884	2999	6
875	2	Response	3	908481	4596	6
875	2	Port Input	4	908481	4596	6
875	2	Response	3	912237	8352	6
875	2	Port Input	4	912237	8352	6
875	3	Nothing	19	934123	0	1			0		other	0
875	4	Nothing	52	963705	0	1			0		other	0
875	4	Response	2	965188	1483	5
875	4	Port Input	1	965188	1483	5
875	5	Nothing	110	965222	0	1			0		false_alarm	113
875	5	Response	2	966573	1351	6
875	5	Port Input	1	966573	1351	6
875	5	Response	3	968292	3070	7
875	5	Port Input	4	968292	3070	7
875	6	Nothing	19	995359	0	1			0		other	0
875	7	Nothing	51	1012440	0	1			0		other	0
875	7	Response	2	1015552	3112	6
875	7	Port Input	1	1015552	3112	6
875	8	Nothing	100	1015591	0	1			0		false_alarm	122
875	8	Response	2	1017043	1452	6
875	8	Port Input	1	1017043	1452	6
875	8	Response	2	1019323	3732	6
875	8	Port Input	1	1019323	3732	6
875	8	Response	2	1020660	5069	6
875	8	Port Input	1	1020660	5069	6
875	8	Response	2	1022043	6452	5
875	8	Port Input	1	1022043	6452	5
875	8	Response	2	1023529	7938	6
875	8	Port Input	1	1023529	7938	6
875	8	Response	2	1024983	9392	4
875	8	Port Input	1	1024983	9392	4
875	9	Nothing	19	1045743	0	1			0		other	0
875	10	Nothing	51	1074393	0	1			0		other	0
875	10	Response	2	1077244	2851	6
875	10	Port Input	1	1077244	2851	6
875	11	Nothing	100	1077281	0	1			0		false_alarm	139
875	11	Response	2	1078604	1323	6
875	11	Port Input	1	1078604	1323	6
875	11	Response	2	1080050	2769	5
875	11	Port Input	1	1080050	2769	5
875	11	Response	2	1081402	4121	6
875	11	Port Input	1	1081402	4121	6
875	11	Response	2	1082842	5561	6
875	11	Port Input	1	1082842	5561	6
875	11	Response	2	1084405	7124	5
875	11	Port Input	1	1084405	7124	5
875	11	Response	2	1085980	8699	6
875	11	Port Input	1	1085980	8699	6
875	11	Response	2	1087527	10246	5
875	11	Port Input	1	1087527	10246	5
875	11	Response	2	1089080	11799	6
875	11	Port Input	1	1089080	11799	6
875	11	Response	3	1098317	21036	6
875	11	Port Input	4	1098317	21036	6
875	12	Nothing	19	1107426	0	1			0		other	0
875	14	Nothing	51	1135771	0	1			0		other	0
875	14	Response	2	1135918	147	6
875	14	Port Input	1	1135918	147	6
875	15	Nothing	100	1135955	0	1			0		false_alarm	162
875	15	Response	2	1138647	2692	6
875	15	Port Input	1	1138647	2692	6
875	15	Response	2	1139952	3997	6
875	15	Port Input	1	1139952	3997	6
875	15	Response	2	1141361	5406	5
875	15	Port Input	1	1141361	5406	5
875	15	Response	2	1142958	7003	5
875	15	Port Input	1	1142958	7003	5
875	15	Response	2	1144413	8458	6
875	15	Port Input	1	1144413	8458	6
875	16	Nothing	19	1166764	0	1			0		other	0
875	17	Nothing	51	1181546	0	1			0		other	0
875	17	Response	2	1184478	2932	6
875	17	Port Input	1	1184478	2932	6
875	18	Nothing	100	1184527	0	1			0		false_alarm	177
875	18	Response	2	1185748	1221	6
875	18	Port Input	1	1185748	1221	6
875	18	Response	2	1187192	2665	6
875	18	Port Input	1	1187192	2665	6
875	18	Response	2	1188631	4104	7
875	18	Port Input	1	1188631	4104	7
875	18	Response	2	1190097	5570	6
875	18	Port Input	1	1190097	5570	6
875	18	Response	2	1191568	7041	9
875	18	Port Input	1	1191568	7041	9
875	18	Response	2	1193121	8594	6
875	18	Port Input	1	1193121	8594	6
875	19	Nothing	19	1218019	0	1			0		other	0
875	19	Response	2	1226163	8144	5
875	19	Port Input	1	1226163	8144	5
875	20	Nothing	19	1229364	0	1			0		other	0
875	20	Response	2	1230011	647	6
875	20	Port Input	1	1230011	647	6
875	20	Response	3	1232008	2644	6
875	20	Port Input	4	1232008	2644	6
875	20	Response	3	1233692	4328	6
875	20	Port Input	4	1233692	4328	6
875	21	Nothing	19	1239457	0	1			0		other	0
875	21	Response	2	1257331	17874	6
875	21	Port Input	1	1257331	17874	6
875	21	Response	3	1259545	20088	6
875	21	Port Input	4	1259545	20088	6
875	22	Nothing	19	1261327	0	1			0		other	0
875	23	Nothing	52	1281094	0	1			0		other	0
875	23	Response	2	1283629	2535	7
875	23	Port Input	1	1283629	2535	7
875	24	Nothing	110	1283660	0	1			0		false_alarm	209
875	24	Response	3	1286401	2741	6
875	24	Port Input	4	1286401	2741	6
875	25	Nothing	19	1317098	0	1			0		other	0
875	25	Response	2	1326036	8938	6
875	25	Port Input	1	1326036	8938	6
875	26	Nothing	19	1327452	0	1			0		other	0
875	27	Nothing	52	1346823	0	1			0		other	0
875	27	Response	2	1349641	2818	5
875	27	Port Input	1	1349641	2818	5
875	28	Nothing	110	1349671	0	1			0		false_alarm	219
875	28	Response	3	1352882	3211	6
875	28	Port Input	4	1352882	3211	6
875	29	Nothing	19	1383109	0	1			0		other	0
875	29	Response	2	1399639	16530	4
875	29	Port Input	1	1399639	16530	4
875	29	Response	3	1401714	18605	6
875	29	Port Input	4	1401714	18605	6
875	30	Nothing	19	1405566	0	1			0		other	0
875	31	Nothing	52	1437126	0	1			0		other	0
875	31	Response	2	1440019	2893	4
875	31	Port Input	1	1440019	2893	4
875	32	Nothing	110	1440052	0	1			0		other	0
875	33	Nothing	19	1473588	0	1			0		other	0
875	33	Response	2	1498111	24523	6
875	33	Port Input	1	1498111	24523	6
875	34	Nothing	19	1514687	0	1			0		other	0
875	36	Nothing	52	1529400	0	1			0		other	0
875	36	Response	2	1532286	2886	6
875	36	Port Input	1	1532286	2886	6
875	37	Nothing	110	1532320	0	1			0		other	0
875	38	Nothing	19	1565717	0	1			0		other	0
875	39	Nothing	52	1594165	0	1			0		other	0
875	39	Response	3	1597311	3146	6
875	39	Port Input	4	1597311	3146	6
875	40	Nothing	111	1597356	0	1			0		false_alarm	244
875	40	Response	3	1598867	1511	6
875	40	Port Input	4	1598867	1511	6
875	40	Response	3	1600252	2896	6
875	40	Port Input	4	1600252	2896	6
875	40	Response	3	1601500	4144	5
875	40	Port Input	4	1601500	4144	5
875	40	Response	3	1602954	5598	6
875	40	Port Input	4	1602954	5598	6
875	40	Response	3	1604542	7186	6
875	40	Port Input	4	1604542	7186	6
875	40	Response	3	1605754	8398	6
875	40	Port Input	4	1605754	8398	6
875	41	Nothing	19	1630942	0	1			0		other	0
875	41	Response	3	1641642	10700	6
875	41	Port Input	4	1641642	10700	6
875	41	Response	2	1674662	43720	6
875	41	Port Input	1	1674662	43720	6
875	41	Response	3	1676265	45323	6
875	41	Port Input	4	1676265	45323	6
875	41	Response	3	1677851	46909	5
875	41	Port Input	4	1677851	46909	5
875	42	Nothing	19	1680000	0	1			0		other	0
875	43	Nothing	52	1698962	0	1			0		other	0
875	43	Response	2	1701880	2918	6
875	43	Port Input	1	1701880	2918	6
875	44	Nothing	110	1701913	0	1			0		false_alarm	270
875	44	Response	3	1703613	1700	7
875	44	Port Input	4	1703613	1700	7
